filename;lang;lang_proba
'289.txt';'en';'[en:0.9999967041445241]'
'504.txt';'en';'[en:0.9999953998189024]'
'262.txt';'en';'[en:0.9999958245322633]'
'276.txt';'en';'[en:0.9999957219709954]'
'510.txt';'en';'[en:0.9999966837548315]'
'538.txt';'en';'[en:0.9999967259490747]'
'712.txt';'en';'[en:0.9999970899672723]'
'29.txt';'en';'[en:0.9999945033067161]'
'15.txt';'en';'[en:0.9999972032988906]'
'699.txt';'en';'[en:0.9999969428594809]'
'114.txt';'en';'[en:0.9999973327757145]'
'672.txt';'en';'[en:0.9999963839005966]'
'666.txt';'en';'[en:0.9999964462147651]'
'100.txt';'fr';'[fr:0.9999949870882111]'
'128.txt';'en';'[en:0.9999960152554874]'
'470.txt';'en';'[en:0.9999950298088786]'
'316.txt';'en';'[en:0.9999966673160349]'
'302.txt';'en';'[en:0.9999971736708351]'
'458.txt';'it';'[it:0.9999986142206514]'
'303.txt';'en';'[en:0.9999976218012521]'
'471.txt';'en';'[en:0.999998073834625]'
'317.txt';'en';'[en:0.9999965045103278]'
'101.txt';'en';'[en:0.9999984253636658]'
'673.txt';'en';'[en:0.999995751291122]'
'698.txt';'en';'[en:0.99999573240157]'
'14.txt';'en';'[en:0.9999983453903316]'
'28.txt';'en';'[en:0.9999963980021079]'
'713.txt';'en';'[en:0.9999955584216342]'
'707.txt';'de';'[de:0.9999978529111113]'
'539.txt';'en';'[en:0.9999978203995645]'
'277.txt';'en';'[en:0.9999944220229553]'
'263.txt';'en';'[en:0.9999969292164161]'
'288.txt';'en';'[en:0.9999971139214452]'
'275.txt';'en';'[en:0.9999970221118213]'
'261.txt';'en';'[en:0.9999980649815967]'
'249.txt';'en';'[en:0.9999955194646062]'
'711.txt';'en';'[en:0.9999972776927958]'
'16.txt';'en';'[en:0.999997065972414]'
'103.txt';'en';'[en:0.9999968990707832]'
'665.txt';'en';'[en:0.9999979964502242]'
'671.txt';'en';'[en:0.999996360585891]'
'117.txt';'en';'[en:0.9999972776614485]'
'498.txt';-;-
'467.txt';'es';'[es:0.9999958444341105]'
'301.txt';'en';'[en:0.9999955177752482]'
'315.txt';'de';'[de:0.999997471041855]'
'473.txt';'en';'[en:0.9999958951491854]'
'329.txt';'en';'[en:0.9999961966607822]'
'328.txt';'en';'[en:0.9999976474347461]'
'314.txt';'en';'[en:0.9999954123085203]'
'472.txt';'en';'[en:0.9999955456428234]'
'466.txt';'en';'[en:0.9999961790325489]'
'499.txt';'en';'[en:0.9999966311928462]'
'658.txt';'en';'[en:0.9999962553440975]'
'116.txt';'en';'[en:0.9999937769884921]'
'102.txt';'en';'[en:0.9999974094758627]'
'664.txt';'en';'[en:0.9999960135054162]'
'17.txt';'en';'[en:0.9999956717599879]'
'704.txt';'nl';'[nl:0.9999991834663315]'
'710.txt';'en';'[en:0.9999968478382788]'
'248.txt';'en';'[en:0.9999963448696482]'
'274.txt';'en';'[en:0.9999970093745584]'
'258.txt';'en';'[en:0.9999928352039881]'
'270.txt';'en';'[en:0.9999965831528366]'
'502.txt';'en';'[en:0.9999976521225962]'
'264.txt';'en';'[en:0.9999974047092565]'
'728.txt';'en';'[en:0.9999950879217842]'
'700.txt';'da';'[da:0.7598378443725133, no:0.24015767320235168]'
'13.txt';'en';'[en:0.999997161750502]'
'660.txt';'en';'[en:0.9999967160018767]'
'106.txt';'en';'[en:0.9999975391490865]'
'674.txt';'en';'[en:0.9999986143497328]'
'489.txt';'en';'[en:0.9999966109514642]'
'338.txt';'en';'[en:0.9999957023117952]'
'304.txt';'en';'[en:0.9999986068333246]'
'462.txt';'en';'[en:0.9999964213311214]'
'476.txt';'en';'[en:0.9999947538972105]'
'310.txt';'en';'[en:0.9999962350295014]'
'477.txt';'en';'[en:0.9999985487250646]'
'311.txt';'en';'[en:0.9999952055576755]'
'305.txt';'en';'[en:0.9999986843946386]'
'463.txt';'cs';'[cs:0.9999975564290942]'
'339.txt';'en';'[en:0.9999973136884843]'
'488.txt';'en';'[en:0.999998262721311]'
'113.txt';'en';'[en:0.9999971149833249]'
'675.txt';'en';'[en:0.9999948573169792]'
'107.txt';'en';'[en:0.9999956686440635]'
'649.txt';'en';'[en:0.9999972271986444]'
'12.txt';'en';'[en:0.9999972759736654]'
'701.txt';'en';'[en:0.9999975206435016]'
'715.txt';'en';'[en:0.9999958868905331]'
'729.txt';'ro';'[ro:0.9999924745814204]'
'265.txt';'en';'[en:0.9999975670651375]'
'271.txt';'en';'[en:0.9999959342308176]'
'259.txt';'en';'[en:0.9999961591814479]'
'298.txt';'en';'[en:0.999997154253856]'
'529.txt';'en';'[en:0.999997404458848]'
'267.txt';'en';'[en:0.9999974082393129]'
'501.txt';'en';'[en:0.9999983906579017]'
'273.txt';'en';'[en:0.9999966770888995]'
'703.txt';'en';'[en:0.9999970163316114]'
'717.txt';'en';'[en:0.9999975397587735]'
'688.txt';'en';'[en:0.999996312385899]'
'38.txt';'en';'[en:0.9999974130803228]'
'139.txt';'en';'[en:0.9999977303650381]'
'677.txt';'en';'[en:0.9999970633716243]'
'111.txt';'fr';'[fr:0.9999946527948147]'
'105.txt';'fr';'[fr:0.9999963551211467]'
'663.txt';'en';'[en:0.9999981312770573]'
'313.txt';'de';'[de:0.999995852891965]'
'475.txt';'en';'[en:0.9999983359423201]'
'461.txt';'en';'[en:0.9999972604715421]'
'307.txt';'en';'[en:0.9999974237355909]'
'306.txt';'en';'[en:0.9999954993024426]'
'312.txt';'en';'[en:0.999996606205679]'
'474.txt';'en';'[en:0.9999966944292868]'
'448.txt';'pl';'[pl:0.9999953147534449]'
'104.txt';'en';'[en:0.9999965344382111]'
'676.txt';'en';'[en:0.9999978279782786]'
'110.txt';'fr';'[fr:0.9999964601618064]'
'138.txt';'en';'[en:0.9999963926676264]'
'39.txt';'en';'[en:0.999996615358377]'
'11.txt';'en';'[en:0.999996296860426]'
'689.txt';'en';'[en:0.9999980331267766]'
'716.txt';'en';'[en:0.9999960583907164]'
'702.txt';'en';'[en:0.9999970699861251]'
'514.txt';'en';'[en:0.8571404937998847, ro:0.14285814681161937]'
'272.txt';'en';'[en:0.9999968257244747]'
'266.txt';'en';'[en:0.9999995507144991]'
'500.txt';'en';'[en:0.999996367065898]'
'528.txt';'en';'[en:0.9999970518382636]'
'299.txt';'en';'[en:0.9999967295171942]'
'598.txt';'en';'[en:0.999996799058884]'
'201.txt';'en';'[en:0.999996645470889]'
'215.txt';'en';'[en:0.9999957167858389]'
'229.txt';'en';'[en:0.9999976112912481]'
'76.txt';'en';'[en:0.9999977123186199]'
'188.txt';'en';'[en:0.9999934209032403]'
'62.txt';'en';'[en:0.999997480447503]'
'89.txt';'en';'[en:0.9999966224090493]'
'611.txt';'en';'[en:0.9999953747521585]'
'177.txt';'en';'[en:0.9999971070569449]'
'163.txt';'en';'[en:0.9999962582945002]'
'605.txt';'en';'[en:0.9999971223498845]'
'639.txt';'en';'[en:0.9999979343468532]'
'375.txt';'en';'[en:0.9999971991083763]'
'413.txt';'en';'[en:0.9999981509045374]'
'407.txt';'en';'[en:0.9999963033059395]'
'361.txt';'en';'[en:0.9999974322983953]'
'349.txt';'en';'[en:0.9999972651852028]'
'348.txt';'en';'[en:0.9999968214419451]'
'406.txt';'en';'[en:0.9999971441519769]'
'360.txt';'en';'[en:0.9999977229922782]'
'374.txt';'en';'[en:0.9999968484575633]'
'412.txt';'en';'[en:0.9999961171109067]'
'162.txt';'en';'[en:0.9999956295943704]'
'604.txt';'en';'[en:0.9999960166932746]'
'88.txt';'en';'[en:0.9999971663712783]'
'176.txt';'fr';'[fr:0.9999958486485832]'
'63.txt';'en';'[en:0.9999981389651229]'
'77.txt';'en';'[en:0.9999978682050973]'
'189.txt';'en';'[en:0.9999963098818059]'
'228.txt';'en';'[en:0.9999968054080174]'
'572.txt';'en';'[en:0.9999960792376515]'
'214.txt';'en';'[en:0.9999981522136715]'
'200.txt';'en';'[en:0.9999970818097471]'
'599.txt';'en';'[en:0.9999961878949738]'
'216.txt';'en';'[en:0.9999970874656681]'
'570.txt';'en';'[en:0.9999963889846424]'
'564.txt';'en';'[en:0.9999948874287419]'
'202.txt';'en';'[en:0.9999965983877637]'
'49.txt';'en';'[en:0.9999969441067397]'
'61.txt';'de';'[de:0.9999954379751672]'
'75.txt';'en';'[en:0.9999973606520087]'
'606.txt';'en';'[en:0.9999973403423303]'
'160.txt';'en';'[en:0.9999966981829939]'
'174.txt';'en';'[en:0.9999957155160061]'
'612.txt';'en';'[en:0.999997146542727]'
'148.txt';'en';'[en:0.9999959524867745]'
'362.txt';'en';'[en:0.9999976293108833]'
'404.txt';'en';'[en:0.9999941411270372]'
'410.txt';'en';'[en:0.9999962378305949]'
'376.txt';'en';'[en:0.9999974624324532]'
'438.txt';'en';'[en:0.9999972759754655]'
'439.txt';'en';'[en:0.9999951560463065]'
'411.txt';'en';'[en:0.9999969175455787]'
'377.txt';'en';'[en:0.9999974102444689]'
'363.txt';'de';'[de:0.999995680158136]'
'405.txt';'fr';'[fr:0.9999953484457512]'
'149.txt';'en';'[en:0.9999984725865481]'
'175.txt';'en';'[en:0.9999983229294049]'
'613.txt';'en';'[en:0.9999975070642932]'
'607.txt';'en';'[en:0.9999978010132464]'
'161.txt';'en';'[en:0.9999970381799894]'
'74.txt';'en';'[en:0.999996620694243]'
'48.txt';'en';'[en:0.9999965424089392]'
'559.txt';'en';'[en:0.9999981448121579]'
'565.txt';'en';'[en:0.9999976310352434]'
