doc_id,sentence
0,"Four of them are core principles commonly used in bioethics: beneficence, non-maleficence, autonomy, and justice."
0,"In the ensuing discussion, we note the limitations and assess the implications of this ethical framework for future efforts to create laws, rules, technical standards, and best practices for ethical AI in a wide range of contexts.Keywords: accountability, autonomy, artificial intelligence, beneficence, ethics, explicability, fairness, intelligibility, justice, non-maleficence.1."
0,"This convergence can most clearly be shown by comparing the sets of principles with the four core principles commonly used in bioethics: beneficence, non-maleficence, autonomy, and justice (Beauchamp & Childress, 2012)."
0,"Justice: Promoting Prosperity, Preserving Solidarity, Avoiding UnfairnessThe decision to make or delegate decisions does not take place in a vacuum."
0,The consequences of this disparity in autonomy are addressed in the principle of justice.
0,"The importance of ‘justice’ is explicitly cited in the Montreal Declaration, which argues that “the development of AI should promote justice and seek to eliminate all types of discrimination,” while the Asilomar Principles include the need for both “shared benefit” and “shared prosperity” from AI."
0,"Under its principle named “Justice, equity and solidarity,” the EGE argues that AI should “contribute to global justice and equal access to the benefits” of AI technologies."
0,"It also warns against the risk of bias in datasets used to train AI systems, and – unique among the documents – argues for the need to defend against threats to “solidarity,” including “systems of mutual assistance such as in social insurance and healthcare.” Elsewhere ‘justice’ has still other meanings (especially in the sense of fairness), variously relating to the use of AI to correct past wrongs such as eliminating unfair discrimination, promoting diversity, and preventing the rise of new threats to justice."
0,"The diverse ways in which justice is characterised hints at a broader lack of clarity over AI as a human-made reservoir of ‘smart agency.’ Put simply, are we (humans) the patient, receiving the ‘treatment’ of AI, the doctor prescribing it?"
0,"This list was designed by consensus of a large diverse interdisciplinary committee to give the public something better than Asimov’s Laws (which covered beneficence & justice), but extended to five in order to bring in transparency and accountability."
102,22 Regulation in the Canadian Federal State vs the EU and its Member States ................................................................22 Bias ............................................................................................................................................................................................................22 Risk Management and Impact Assessment ..............................................................................................................................23 Data Governance .................................................................................................................................................................................23 Policing and Criminal Justice .........................................................................................................................................................24 Enforcement ..........................................................................................................................................................................................26 Due Process and Procedural Fairness ..........................................................................................................................................27 Consumer Protection .......................................................................................................................................................................28 COMPARING MODELS: STRENGTHS AND WEAKNESSES ...................................................................................................
102,"Through this work, the LCO promotes access to justice, evidence-based law reform and public debate."
102,"This report is part of the LCO’s ongoing AI, ADM and the Justice System project."
